,Mode of Study,Level of Study,Gender,House Area,Are you take any loan/sponsorship?,Income per Month,Device used in doing online classes,Do you have any web camera?,Internet Access Facilities,Type of quota,Network Speed in your area,Network Service Provider,Stability of internet connection,How many people in your house?,Comfortability when doing online learning,Level of understanding in online learning.,Disruption level during online learning.,Which method of online learning do you prefer?
303,0,3,1,1,1,0,8,0,0,0,0,3,3,1,2,2,2,1
304,0,3,0,0,1,0,5,0,4,3,0,2,2,1,2,2,2,1
305,0,3,0,1,1,4,8,1,0,1,1,11,2,2,4,2,3,1
306,0,2,0,0,1,4,6,1,1,3,0,13,2,1,2,2,2,1
307,0,2,0,1,0,4,6,1,0,0,2,1,2,1,2,2,2,1
308,0,2,1,0,1,4,6,0,6,3,2,3,2,1,2,2,2,1
309,0,2,0,1,1,2,7,1,7,1,2,3,3,2,2,3,3,0
310,0,2,0,0,1,2,5,1,4,3,0,13,2,2,2,1,3,1
311,0,2,0,0,1,4,6,1,1,1,0,3,2,1,2,2,2,1
312,0,3,1,0,1,4,6,1,6,1,1,2,2,2,2,2,2,0
313,0,2,1,0,1,4,5,1,6,3,0,1,2,1,1,0,0,0
314,0,2,0,0,1,4,6,1,1,1,0,3,2,2,3,2,3,1
315,0,2,1,0,0,4,6,1,7,1,1,17,0,2,4,2,4,1
316,0,2,1,1,1,0,5,1,7,3,2,1,2,2,3,2,3,0
317,0,2,1,1,1,4,6,1,1,3,2,4,2,1,2,2,2,1
318,0,2,0,0,0,4,7,1,7,3,2,11,4,2,0,3,0,0
319,0,2,0,0,1,1,5,1,0,1,0,3,2,2,0,0,4,1
320,0,2,1,1,1,4,5,1,1,1,0,3,2,2,1,0,1,0
321,0,2,1,1,1,4,5,1,0,1,0,23,2,1,2,2,2,1
322,0,3,0,0,1,4,6,1,7,3,2,14,4,1,3,3,2,0
323,0,2,0,1,1,4,6,0,0,3,1,13,2,1,2,2,2,1
324,1,4,0,1,1,1,5,1,4,1,1,13,3,1,3,2,4,1
325,0,3,0,0,1,0,0,1,4,1,0,1,1,2,3,1,4,0
326,0,2,1,1,1,4,6,1,6,3,2,14,2,1,2,2,2,1
327,0,2,0,1,0,4,6,1,6,0,2,1,3,2,1,0,3,1
328,0,2,1,0,0,2,6,0,7,0,2,1,3,2,0,0,3,0
329,0,2,1,1,1,3,6,1,5,1,1,3,2,1,1,0,4,0
330,0,2,1,1,1,0,6,1,6,3,2,2,1,1,3,3,1,0
331,0,2,0,0,0,4,6,1,7,1,1,13,2,1,2,2,2,1
332,0,2,0,0,0,0,6,1,7,3,2,13,2,1,3,2,1,0
333,0,2,1,0,1,4,6,0,1,3,1,13,2,1,2,2,2,1
334,0,2,1,0,0,4,5,0,1,3,1,13,1,2,2,2,4,0
335,1,4,0,0,1,1,7,1,6,3,2,13,1,1,3,3,3,1
336,0,3,0,0,1,4,5,0,1,0,0,3,2,1,2,1,2,0
337,0,3,0,1,1,4,6,0,1,0,0,1,2,1,3,3,2,0
338,0,2,0,0,1,2,6,1,1,0,2,2,3,1,2,2,3,1
339,0,2,0,0,1,4,5,1,5,3,0,1,3,1,3,1,4,1
340,0,2,0,1,0,4,5,0,5,3,2,26,2,1,2,2,2,1
341,0,2,0,1,1,4,7,1,6,1,0,18,2,2,3,2,2,0
342,0,2,1,1,0,4,6,1,4,1,0,11,2,1,2,2,2,1
343,0,2,0,1,1,4,6,1,6,3,0,13,2,1,1,1,3,0
